Location,Age,Sex,Cause of death or injury,Deaths annual % change 2010-2017,Percent of total deaths 2017
Global,All ages,Both,Nasopharynx cancer,0.003331598,0.001243158
Global,All ages,Both,Neck pain,0.0,0.0
Global,All ages,Both,Neonatal disorders,-0.033578981,0.031883669
Global,All ages,Both,Non-Hodgkin lymphoma,0.011960165,0.00444425
Global,All ages,Both,Non-melanoma skin cancer,0.021832816,0.001163586
Global,All ages,Both,Non-rheumatic valvular heart disease,0.022130854,0.002589317
Global,All ages,Both,Onchocerciasis,0.0,0.0
Global,All ages,Both,Oral disorders,0.0,0.0
Global,All ages,Both,Osteoarthritis,0.0,0.0
Global,All ages,Both,Other cardiovascular and circulatory diseases,0.003404575,0.006446419
Global,All ages,Both,Other chronic respiratory diseases,0.009141886,0.00093208
Global,All ages,Both,Other digestive diseases,0.004604541,0.00156006
Global,All ages,Both,Other intestinal infectious diseases,-0.06630907,2.587234796e-05
Global,All ages,Both,Other malignant neoplasms,0.018969038,0.006426706
Global,All ages,Both,Other mental disorders,0.0,0.0
Global,All ages,Both,Other musculoskeletal disorders,0.012956326,0.001322623
Global,All ages,Both,Other neglected tropical diseases,-0.006857005,0.000224517
Global,All ages,Both,Other neoplasms,0.018390325,0.001839678
Global,All ages,Both,Other neurological disorders,0.008422505,0.00096427
Global,All ages,Both,Other nutritional deficiencies,-0.013273952,0.000683278
Global,All ages,Both,Other pharynx cancer,0.022517283,0.002098673
Global,All ages,Both,Other sense organ diseases,0.0,0.0
Global,All ages,Both,Other skin and subcutaneous diseases,0.010922179,7.043379768e-05
Global,All ages,Both,Other transport injuries,-0.009912403,0.001643303
Global,All ages,Both,Other unintentional injuries,-0.015994059,0.001692386
Global,All ages,Both,Other unspecified infectious diseases,-0.012119896,0.001416918
Global,All ages,Both,Otitis media,-0.056684523,1.694403859e-05
Global,All ages,Both,Ovarian cancer,0.007759061,0.00314559
Global,All ages,Both,Pancreatic cancer,0.021849975,0.007884183
Global,All ages,Both,Pancreatitis,0.005030375,0.00181638
Global,All ages,Both,Paralytic ileus and intestinal obstruction,0.005153418,0.004298632
Global,All ages,Both,Parkinson's disease,0.021429899,0.00608877
Global,All ages,Both,Peripheral artery disease,0.032939982,0.001254251
Global,All ages,Both,Pneumoconiosis,-0.015786505,0.000385221
Global,All ages,Both,Poisonings,-0.022476461,0.001293577
Global,All ages,Both,Prostate cancer,0.011418227,0.007434264
Global,All ages,Both,Protein-energy malnutrition,-0.034519061,0.004142785
Global,All ages,Both,Pruritus,0.0,0.0
Global,All ages,Both,Psoriasis,0.0,0.0
Global,All ages,Both,Rabies,-0.08199937,0.000208385
Global,All ages,Both,Rheumatic heart disease,-0.017482948,0.00510349
Global,All ages,Both,Rheumatoid arthritis,0.006703645,0.000845003
Global,All ages,Both,Road injuries,-0.010375795,0.022219143
Global,All ages,Both,Scabies,0.0,0.0
Global,All ages,Both,Schistosomiasis,-0.030637965,0.00015795
Global,All ages,Both,Schizophrenia,0.0,0.0
Global,All ages,Both,Self-harm,-0.015167672,0.014189188
Global,All ages,Both,Sexually transmitted infections excluding HIV,-0.030372487,0.002128562
Global,All ages,Both,Stomach cancer,-0.014427292,0.015461214
Global,All ages,Both,Stroke,-0.006986486,0.110237083
Global,All ages,Both,Sudden infant death syndrome,-0.031187378,0.000714247
Global,All ages,Both,Testicular cancer,-0.003345396,0.00013695
Global,All ages,Both,Tetanus,-0.112125959,0.000681614
Global,All ages,Both,Thyroid cancer,0.016030006,0.000737055
Global,All ages,Both,"Tracheal, bronchus, and lung cancer",0.009495951,0.033658852
Global,All ages,Both,Trachoma,0.0,0.0
Global,All ages,Both,Tuberculosis,-0.032548776,0.021157376
Global,All ages,Both,Typhoid and paratyphoid,-0.032146392,0.002429596
Global,All ages,Both,Upper digestive system diseases,-0.021066596,0.005221383
Global,All ages,Both,Upper respiratory infections,-0.072411543,0.000162867
Global,All ages,Both,Urinary diseases and male infertility,0.016999724,0.004847418
Global,All ages,Both,Urticaria,0.0,0.0
Global,All ages,Both,Uterine cancer,0.00384008,0.001523601
Global,All ages,Both,Varicella and herpes zoster,-0.031183622,0.000278669
Global,All ages,Both,Vascular intestinal disorders,0.007111251,0.001716876
Global,All ages,Both,Viral skin diseases,0.0,0.0
Global,All ages,Both,Vitamin A deficiency,0.0,0.0
Global,All ages,Both,Whooping cough,-0.044732983,0.001640801
Global,All ages,Both,Yellow fever,-0.038747964,8.554714704e-05
Global,All ages,Both,Zika virus,0.0,3.467865475e-07
